Result ID,Short ID,Company,System,Spec. Revision,Scale Factor,QphH,Price Perf,Total Sys. Cost,Currency,Database Software,Operating System,CPU Type,# CPU's,Total Processors,Total Cores,Total Threads,Cluster,Date Submitted,Active Expiration Date,Availability Date,Withdrawn,Date Withdrawn,Watts/KqphH,Average Power of REC,Idle Power of REC,Lowest Temp at Inlet,DB-Server Watts per KqphH,DB-Server Full Power Avg Watts,DB-Server Full Power %,DB-Server Idle Power Avg Watts,DB-Server Idle Power %,Storage Watts per KqphH,Storage Full Power Avg Watts,Storage Full Power %,Storage Idle Power Avg Watts,Storage Idle Power %,App-Server Watts per KqphH,App-Server Full Power Avg Watts,App-Server Full Power %,App-Server Idle Power Avg Watts,App-Server Idle Power %,Misc Watts per KqphH,Misc Full Power Avg Watts,Misc Full Power %,Misc Idle Power Avg Watts,Misc Idle Power %,Total Full Power Avg Watts,Total Idle Power Avg Watts
111050402,3272,Dell                ,Dell PowerEdge R910                               ,2.14.0    ,1000,436788.9,0.88,384935,USD,Actian VectorWise 1.6                                                                                                                                                                                                                                          ,Red Hat Enterprise Linux 6.0                                                                                                                                                                                                                                   ,Intel Xeon E7-8837 - 2.67 GHz                                                                                                                                                                                                                                  ,1,4,32,32,N,5/3/2011,5/3/2014,6/30/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111040501,3263,Dell                ,Dell PowerEdge R710 using EXASolution 4.0         ,2.14.0    ,100,377012,0.22,82963,USD,EXASOL EXASolution 4.0                                                                                                                                                                                                                                         ,EXASOL EXACluster OS 4.0                                                                                                                                                                                                                                       ,Intel Xeon X5690 Hex-Core - 3.46 GHz                                                                                                                                                                                                                           ,2,4,24,48,Y,4/5/2011,5/28/2014,10/1/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111040502,3264,Dell                ,Dell PowerEdge R710 using EXASolution 4.0         ,2.14.0    ,1000,1617374.4,0.37,585899,USD,EXASOL EXASolution 4.0                                                                                                                                                                                                                                         ,EXASOL EXACluster OS 4.0                                                                                                                                                                                                                                       ,Intel Xeon X5690 Hex-Core - 3.46 GHz                                                                                                                                                                                                                           ,10,20,120,240,Y,4/5/2011,5/28/2014,10/1/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111040503,3265,Dell                ,Dell PowerEdge R710 using EXASolution 4.0         ,2.14.0    ,300,2180712.7,0.15,306738,USD,EXASOL EXASolution 4.0                                                                                                                                                                                                                                         ,EXASOL EXACluster OS 4.0                                                                                                                                                                                                                                       ,Intel Xeon X5690 Hex-Core - 3.46 GHz                                                                                                                                                                                                                           ,16,32,192,384,Y,4/5/2011,5/28/2014,10/1/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111040504,3266,Dell                ,Dell PowerEdge R710 using EXASolution 4.0         ,2.14.0    ,100,1112401.9,0.12,132676,USD,EXASOL EXASolution 4.0                                                                                                                                                                                                                                         ,EXASOL EXACluster OS 4.0                                                                                                                                                                                                                                       ,Intel Xeon X5690 Hex-Core - 3.46 GHz                                                                                                                                                                                                                           ,8,16,96,192,Y,4/5/2011,10/5/2014,10/1/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111040505,3267,Dell                ,Dell PowerEdge R710 using EXASolution 4.0         ,2.14.0    ,1000,4253937.3,0.19,766444,USD,EXASOL EXASolution 4.0                                                                                                                                                                                                                                         ,EXASOL EXACluster OS 4.0                                                                                                                                                                                                                                       ,Intel Xeon X5690 Hex-Core - 3.46 GHz                                                                                                                                                                                                                           ,32,64,384,768,Y,4/5/2011,10/5/2014,10/1/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111040506,3268,Dell                ,Dell PowerEdge R710 using EXASolution 4.0         ,2.14.0    ,3000,5556993.3,0.32,1736850,USD,EXASOL EXASolution 4.0                                                                                                                                                                                                                                         ,EXASOL EXACluster OS 4.0                                                                                                                                                                                                                                       ,Intel Xeon X5690 Hex-Core - 3.46 GHz                                                                                                                                                                                                                           ,40,80,480,960,Y,4/5/2011,10/5/2014,10/1/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111040507,3269,Dell                ,Dell PowerEdge R710 using EXASolution 4.0         ,2.14.0    ,10000,7128255.1,0.53,3720294,USD,EXASOL EXASolution 4.0                                                                                                                                                                                                                                         ,EXASOL EXACluster OS 4.0                                                                                                                                                                                                                                       ,Intel Xeon X5690 Hex-Core - 3.46 GHz                                                                                                                                                                                                                           ,60,120,720,1440,Y,4/5/2011,10/5/2014,10/1/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109060201,3235,Dell                ,PowerEdge T610                                    ,2.8.0     ,100,28772.9,1.46,41998,USD,Microsoft SQL Server 2008 Enterprise Edition x64 SP1                                                                                                                                                                                                           ,Microsoft Windows Server 2008 Enterprise Edition x64 SP1                                                                                                                                                                                                       ,Intel Xeon X5570 Quad-Core - 2.93 GHz                                                                                                                                                                                                                          ,2,2,8,8,N,6/2/2009,10/27/2013 9:16:00 PM,6/2/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106112701,3192,Dell                ,PowerEdge 2900/2.66GHz/8MB                        ,2.3.0     ,100,15723.9,7.45,117022,USD,Microsoft SQL Server 2005 Enterprise  Edition x64 SP1                                                                                                                                                                                                          ,Microsoft Windows Server 2003 Enterprise Edition x64 SP1                                                                                                                                                                                                       ,Intel Xeon X5355 Quad-Core - 2.66 GHz                                                                                                                                                                                                                          ,2,2,8,8,N,11/27/2006,10/27/2013 9:16:00 PM,12/31/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106102303,3189,Dell                ,PowerEdge 6950/2.8GHz/2MB                         ,2.3.0     ,100,14923.1,5.66,84387,USD,Microsoft SQL Server 2005 Enterprise Edition x64                                                                                                                                                                                                               ,Microsoft Windows Server 2003 Enterprise x64 Edition                                                                                                                                                                                                           ,AMD Opteron 8220SE - 2.8 GHz                                                                                                                                                                                                                                   ,4,4,8,8,N,10/23/2006,10/27/2013 9:16:00 PM,12/4/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106102304,3190,Dell                ,PowerEdge 6950/2.8GHz/2MB                         ,2.3.0     ,100,17179.7,7.64,131204,USD,Microsoft SQL Server 2005 Enterprise Edition x64                                                                                                                                                                                                               ,Microsoft Windows Server 2003 Enterprise x64 Edition                                                                                                                                                                                                           ,AMD Opteron 8220SE - 2.8 GHz                                                                                                                                                                                                                                   ,4,4,8,8,N,10/23/2006,10/27/2013 9:16:00 PM,12/4/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106080102,3182,Dell                ,PowerEdge 6800/3.4GHz/16MB                        ,2.3.0     ,100,16320.1,13.4,218609,USD,Microsoft SQL Server 2005 Enterprise Edition                                                                                                                                                                                                                   ,Microsoft Windows Server 2003 Enterprise x64 Edition                                                                                                                                                                                                           ,Intel Xeon MP - 3.4 GHz                                                                                                                                                                                                                                        ,4,4,8,16,N,8/1/2006,10/27/2013 9:16:00 PM,8/28/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106071001,3178,Dell                ,PowerEdge 2900/3.0GHz/4MB                         ,2.3.0     ,100,10476.7,11.44,119799,USD,Microsoft SQL Server 2005 Enterprise Edition x64                                                                                                                                                                                                               ,Microsoft Windows Server 2003 Enterprise x64 Edition                                                                                                                                                                                                           ,Intel Xeon 5160 - 3.0 GHz                                                                                                                                                                                                                                      ,2,2,4,4,N,7/10/2006,10/27/2013 9:16:00 PM,7/10/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106051801,3173,Dell                ,PowerEdge 6800/3.0GHz/2x2MB                       ,2.3.0     ,100,9202.4,7.4,68092,USD,Microsoft SQL Server 2005 Enterprise Edition x64                                                                                                                                                                                                               ,Microsoft Windows Server 2003 Enterprise x64 Edition                                                                                                                                                                                                           ,Intel Xeon X3000 MP - 3.0 GHz                                                                                                                                                                                                                                  ,4,4,8,8,N,5/18/2006,10/27/2013 9:16:00 PM,5/18/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
